ProductItemId;ProductItemProductId;ProductItemBomProductId;ProductItemQuantity;ProductItemRequired;ProductItemSortOrder
PRODITEM001;PR001;PR010;2;False;1
PRODITEM002;PR001;PR024;1;False;2
PRODITEM003;PR001;PR039;3;True;3
PRODITEM004;PR002;PR010;1;False;4
PRODITEM005;PR002;PR024;1;False;5
PRODITEM006;PR002;PR039;1;False;6
PRODITEM007;PR003;PR010;1;False;7
PRODITEM008;PR003;PR024;1;False;8
PRODITEM009;PR003;PR039;1;False;9
PRODITEM010;PR004;PR010;1;False;10
PRODITEM011;PR004;PR024;1;False;11
PRODITEM012;PR004;PR039;1;False;12
PRODITEM013;PR005;PR010;1;False;13
PRODITEM014;PR005;PR024;1;False;14
PRODITEM015;PR005;PR039;1;False;15
PRODITEM016;PR006;PR010;1;False;16
PRODITEM017;PR006;PR024;1;False;17
PRODITEM018;PR006;PR039;1;False;18
PRODITEM019;PR007;PR010;1;False;19
PRODITEM020;PR007;PR024;1;False;20
PRODITEM021;PR007;PR039;1;False;21
PRODITEM022;PR008;PR010;1;False;22
PRODITEM023;PR008;PR024;1;False;23
PRODITEM024;PR008;PR039;1;False;24
PRODITEM025;PR009;PR010;1;False;25
PRODITEM026;PR009;PR024;1;False;26
PRODITEM027;PR009;PR039;1;False;27
