ProductId;ProductNumber;ProductName;Groups;ProductType;ProductPriceType;ProductPrice;ProductStock;RelatedProducts;ProductShortDescription;ProductLongDescription;ProductImageSmall;ProductImageMedium;ProductImageLarge;Document;ProductPriceFrom;Color;Ancho;Fondo;Colocacion
PR001;PR001;Conjunto CHICK 80cm Olmo Blanco;GR002,GR051,GR055;2;1;498.5;100;PR002;Conjunto compuesto por el mueble CHIC de 80cm y acabado Olmo Blanco.<br>Incluye el lavabo de porcelana CODIGO II de 80x45 cm y espejo MADISON de 80x80cm.;<table><tr><td>Referencia</td><td>00CHICK6</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Con Patas</td></tr><tr><td>Color</td><td>Olmo blanco</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Medidas</td><td>80 x 85 x 45 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR001.jpg;/Images/Ecom/Gamma_ImagesProducts/PR001.jpg;/Images/Ecom/Gamma_ImagesProducts/PR001.jpg;;;Blanco;80;45;Con patas
PR002;PR002;Conjunto CHIC 80cm Roble Hera;GR002,GR052,GR056;2;1;496;100;;Conjunto compuesto por el mueble CHIC de 80cm en acabado Roble Hera.<br>Lavabo CODIGO II y espejo arenado LOOK 70X80cm;<table><tr><td>Referencia</td><td>00CHICK5</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Con Patas</td></tr><tr><td>Color</td><td>Roble</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Medidas</td><td>80 x 85 x 45 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR002.jpg;/Images/Ecom/Gamma_ImagesProducts/PR002.jpg;/Images/Ecom/Gamma_ImagesProducts/PR002.jpg;;;Roble;80;45;Con patas
PR003;PR003;Conjunto SENYA Suspendido 80cm Fresno Tea;GR002,GR053,GR057;2;1;380;100;;Conjunto compuesto por el mueble suspendido SENYA de 80cm en color Fresno Tea.<br>Lavabo de porcelana CODIGO II de 81x46cm y espejo con marco de arenado LOOK de 80x80cm.<br>Las medidas del mueble suspendido SENYA son: Ancho: 80cm Alto: 56.5cm Fondo:45.5cm;<table><tr><td>Referencia</td><td>00SENYA3</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Color</td><td>Madera</td></tr><tr><td>Fondo</td><td>45.5 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR003.jpg;/Images/Ecom/Gamma_ImagesProducts/PR003.jpg;/Images/Ecom/Gamma_ImagesProducts/PR003.jpg;;;Fresno;80;45.5;Suspendido
PR004;PR004;Conjunto CHIC Suspendido 80cm Roble Hera;GR002,GR051,GR058;2;1;549;100;;Conjunto compuesto por el mueble suspendido CHIC de 80 cm en acabado Roble Hera.<br>Lavabo CODIGO II y espejo camerino CHIC de 80x70cm;<table><tr><td>Referencia</td><td>00CHICK7</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Color</td><td>Roble</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Medidas</td><td>80 x 85 x 45 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR004.jpg;/Images/Ecom/Gamma_ImagesProducts/PR004.jpg;/Images/Ecom/Gamma_ImagesProducts/PR004.jpg;;;Roble;80;45;Suspendido
PR005;PR005;Conjunto SMART estepa;GR002,GR052,GR059;2;1;189;100;;Conjunto SMART en color estepa. Es pequeño, práctico y funcional.<br>Incluye mueble en color estepa, lavabo de porcelana y espejo con estante del mismo color que el mueble.<br>Disponible en color blanco, negro, wengué y ceniza. Medidas: ancho: 44,5cm, fondo: 30cm y alto: 60cm (incluyendo el lavabo). Espejo de 44x60cm.;<table><tr><td>Referencia</td><td>SMART030</td></tr><tr><td>Ancho</td><td>45 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Color</td><td>Estepa</td></tr><tr><td>Ean</td><td>8435233859361</td></tr><tr><td>Fondo</td><td>30 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR005.jpg;/Images/Ecom/Gamma_ImagesProducts/PR005.jpg;/Images/Ecom/Gamma_ImagesProducts/PR005.jpg;;;Estepa;Otro;30;Suspendido
PR006;PR006;Conjunto CHIC suspendido roble hera de 80 cm;GR002,GR053,GR055;2;1;543;100;;Conjunto compuesto por el mueble suspendido CHIC de 80 cm en acabado roble hera, lavabo CODIGO II, espejo PLAN de 80x70 cm y aplique PULSAR 60 cromo.;<table><tr><td>Referencia</td><td>00CHICK11</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Ean</td><td>8435233878232</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR006.jpg;/Images/Ecom/Gamma_ImagesProducts/PR006.jpg;/Images/Ecom/Gamma_ImagesProducts/PR006.jpg;;;Roble;80;45;Suspendido
PR007;PR007;Conjunto SMART blanco;GR002,GR051,GR056;2;1;185;100;;Conjunto SMART en color blanco brillo. Es pequeño, práctico y funcional.<br>Incluye mueble en color blanco brillo, lavabo de porcelana y espejo con estante del mismo color que el mueble.<br>Disponible en color blanco, negro, wengué y ceniza. Medidas: ancho: 44,5cm, fondo: 30cm y alto: 60cm (incluyendo el lavabo). Espejo de 44x60cm.;<table><tr><td>Referencia</td><td>SMART010</td></tr><tr><td>Ancho</td><td>45 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Ean</td><td>8435233859347</td></tr><tr><td>Fondo</td><td>30 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR007.jpg;/Images/Ecom/Gamma_ImagesProducts/PR007.jpg;/Images/Ecom/Gamma_ImagesProducts/PR007.jpg;;;Blanco;Otro;30;Suspendido
PR008;PR008;Conjunto SENYA fresno tea suspendido de 80x46 cm;GR002,GR052,GR057;2;1;462.5;100;;Conjunto compuesto por el mueble suspendido SENYA de 80 cm en color Fresno Tea, lavabo CODIGO II centro, espejo PLAN de 80x70 cm y aplique PULSAR 45 cromo.;<table><tr><td>Referencia</td><td>00SENYA6</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Ean</td><td>8435233878331</td></tr><tr><td>Fondo</td><td>46 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR008.jpg;/Images/Ecom/Gamma_ImagesProducts/PR008.jpg;/Images/Ecom/Gamma_ImagesProducts/PR008.jpg;;;Fresno;80;46;Suspendido
PR009;PR009;Conjunto FAN suspendido grafito de 80 cm;GR002,GR053,GR058;2;1;406.5;100;;Conjunto formado por el mueble FAN suspendido grafito de 80 cm, lavabo CODIGO II, espejo HAFA grafito de 80x90 cm y aplique PULSAR 45 cromo.;<table><tr><td>Referencia</td><td>00FANSU3</td></tr><tr><td>Ancho</td><td>80 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Color</td><td>Grafito</td></tr><tr><td>Ean</td><td>8435233872551</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR009.jpg;/Images/Ecom/Gamma_ImagesProducts/PR009.jpg;/Images/Ecom/Gamma_ImagesProducts/PR009.jpg;;;Grafito;80;45;Suspendido
PR010;PR010;Mueble FAN suspendido 60cm Blanco;GR003,GR051,GR059;0;0;149;100;;Mueble FAN suspendido de 60cm en color Blanco. Mueble de 2 cajones con cierre amortiguado. Primer cajón con hendidura para salvar el sifón.<br>Disponible en las medidas de 60, 70 y 80cm. Medidas Ancho:60cm Fondo:45cm Alto:55cm;<table><tr><td>Referencia</td><td>FANSU060</td></tr><tr><td>Ancho</td><td>60 cm</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Color</td><td>Blanco</td></tr><tr><td>Ean</td><td>8435233872513</td></tr><tr><td>Fondo</td><td>45 cm</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR010.jpg;/Images/Ecom/Gamma_ImagesProducts/PR010.jpg;/Images/Ecom/Gamma_ImagesProducts/PR010.jpg;;;Blanco;60;45;Suspendido
